method,data,duration,optimal_section,optimal_day
cp,data_10_2_12_(0).txt,9.120734262466431,9.0,3.0
cp,data_10_2_12_(1).txt,0.141381025314331,5.0,2.0
cp,data_10_2_12_(2).txt,0.6755478382110596,8.0,2.0
cp,data_10_2_12_(3).txt,0.183032989501953,5.0,2.0
cp,data_10_2_12_(4).txt,1.9264404296875,6.0,2.0
cp,data_10_2_24_(0).txt,0.0509755134582518,6.0,2.0
cp,data_10_2_24_(1).txt,0.0621833324432372,5.0,2.0
cp,data_10_2_24_(2).txt,0.0532620906829833,6.0,2.0
cp,data_10_2_24_(3).txt,0.5116397857666015,8.0,2.0
cp,data_10_2_24_(4).txt,0.0885862827301025,6.0,2.0
cp,data_10_2_40_(0).txt,119.2135200202465,10.0,3.0
cp,data_10_2_40_(1).txt,0.0645663738250732,6.0,2.0
cp,data_10_2_40_(2).txt,0.0439789295196532,6.0,2.0
cp,data_10_2_40_(3).txt,0.0450457096099853,6.0,2.0
cp,data_10_2_40_(4).txt,0.0667147636413573,7.0,2.0
cp,data_10_2_4_(0).txt,0.6517749786376953,8.0,2.0
cp,data_10_2_4_(1).txt,0.0691394805908202,5.0,2.0
cp,data_10_2_4_(2).txt,1.0821425437927246,5.0,2.0
cp,data_10_2_4_(3).txt,0.0681643962860107,6.0,2.0
cp,data_10_2_4_(4).txt,0.5829944610595703,8.0,2.0
cp,data_16_3_12_(0).txt,120.1370464960734,13.0,4.0
cp,data_16_3_12_(1).txt,115.2647185087204,6.0,2.0
cp,data_16_3_12_(2).txt,120.16611795425416,6.0,2.0
cp,data_16_3_12_(3).txt,120.16478276252748,6.0,2.0
cp,data_16_3_12_(4).txt,120.1326470375061,6.0,2.0
cp,data_16_3_24_(0).txt,10.158172607421877,7.0,2.0
cp,data_16_3_24_(1).txt,42.25064659118652,7.0,2.0
cp,data_16_3_24_(2).txt,11.568208932876589,9.0,3.0
cp,data_16_3_24_(3).txt,26.92984914779663,6.0,2.0
cp,data_16_3_24_(4).txt,42.25728702545166,6.0,2.0
cp,data_16_3_40_(0).txt,46.0089339017868,6.0,2.0
cp,data_16_3_40_(1).txt,0.5837264060974121,8.0,2.0
cp,data_16_3_40_(2).txt,44.9382791519165,6.0,2.0
cp,data_16_3_40_(3).txt,1.1131117343902588,7.0,2.0
cp,data_16_3_40_(4).txt,40.539143085479736,6.0,2.0
cp,data_16_3_60_(0).txt,0.2126163005828857,6.0,2.0
cp,data_16_3_60_(1).txt,4.015119504928589,7.0,2.0
cp,data_16_3_60_(2).txt,5.208980178833008,8.0,2.0
cp,data_16_3_60_(3).txt,0.4897326946258545,6.0,2.0
cp,data_16_3_60_(4).txt,0.3647169589996338,6.0,2.0
cp,data_20_4_24_(0).txt,38.98263740539551,5.0,2.0
cp,data_20_4_24_(1).txt,120.22075390815736,6.0,2.0
cp,data_20_4_24_(2).txt,120.26542162895204,6.0,2.0
cp,data_20_4_24_(3).txt,120.23921060562134,6.0,2.0
cp,data_20_4_24_(4).txt,6.272751569747925,5.0,2.0
cp,data_20_4_40_(0).txt,0.5829296112060547,5.0,2.0
cp,data_20_4_40_(1).txt,33.509238481521606,6.0,2.0
cp,data_20_4_40_(2).txt,0.5160915851593018,5.0,2.0
cp,data_20_4_40_(3).txt,91.9969289302826,5.0,2.0
cp,data_20_4_40_(4).txt,120.34728598594666,6.0,2.0
cp,data_20_4_60_(0).txt,0.430478572845459,6.0,2.0
cp,data_20_4_60_(1).txt,7.852372407913208,6.0,2.0
cp,data_20_4_60_(2).txt,0.771449089050293,7.0,2.0
cp,data_20_4_60_(3).txt,10.649657487869264,9.0,3.0
cp,data_20_4_60_(4).txt,120.26167392730711,10.0,3.0
cp,data_20_4_80_(0).txt,6.271693706512451,6.0,2.0
cp,data_20_4_80_(1).txt,120.25151896476746,10.0,3.0
cp,data_20_4_80_(2).txt,120.28843927383424,14.0,4.0
cp,data_20_4_80_(3).txt,0.4089169502258301,5.0,2.0
cp,data_20_4_80_(4).txt,0.3050031661987304,6.0,2.0
cp,data_30_6_40_(0).txt,120.61537909507751,6.0,2.0
cp,data_30_6_40_(1).txt,14.64713168144226,9.0,3.0
cp,data_30_6_40_(2).txt,120.6876187324524,10.0,3.0
cp,data_30_6_40_(3).txt,120.62209963798524,6.0,2.0
cp,data_30_6_40_(4).txt,120.72932076454164,6.0,2.0
cp,data_30_6_60_(0).txt,120.62317657470705,6.0,2.0
cp,data_30_6_60_(1).txt,120.7999153137207,6.0,2.0
cp,data_30_6_60_(2).txt,120.68653988838196,6.0,2.0
cp,data_30_6_60_(3).txt,120.832590341568,6.0,2.0
cp,data_30_6_60_(4).txt,121.0217583179474,6.0,2.0
cp,data_30_6_80_(0).txt,120.65935444831848,11.0,3.0
cp,data_30_6_80_(1).txt,121.18255758285522,7.0,2.0
cp,data_30_6_80_(2).txt,120.87605905532835,6.0,2.0
cp,data_30_6_80_(3).txt,120.77217626571657,7.0,2.0
cp,data_30_6_80_(4).txt,2.735701560974121,6.0,2.0
cp,data_40_8_120_(0).txt,4.3448216915130615,6.0,2.0
cp,data_40_8_120_(1).txt,121.92312812805176,7.0,2.0
cp,data_40_8_120_(2).txt,121.36582326889038,7.0,2.0
cp,data_40_8_120_(3).txt,122.7953236103058,8.0,2.0
cp,data_40_8_120_(4).txt,121.34428334236144,6.0,2.0
cp,data_40_8_60_(0).txt,121.77681040763856,6.0,2.0
cp,data_40_8_60_(1).txt,121.87162566184998,6.0,2.0
cp,data_40_8_60_(2).txt,121.88556265830994,10.0,3.0
cp,data_40_8_60_(3).txt,122.21674060821532,5.0,2.0
cp,data_40_8_60_(4).txt,122.01333928108215,6.0,2.0
cp,data_40_8_80_(0).txt,121.81339478492735,6.0,2.0
cp,data_40_8_80_(1).txt,122.12196278572084,6.0,2.0
cp,data_40_8_80_(2).txt,121.88608407974245,6.0,2.0
cp,data_40_8_80_(3).txt,121.89423608779909,6.0,2.0
cp,data_40_8_80_(4).txt,121.84522891044617,6.0,2.0
cp,data_50_10_120_(0).txt,122.72065687179564,10.0,3.0
cp,data_50_10_120_(1).txt,123.4765329360962,7.0,2.0
cp,data_50_10_120_(2).txt,122.76190233230592,6.0,2.0
cp,data_50_10_120_(3).txt,122.69482851028442,9.0,3.0
cp,data_50_10_120_(4).txt,123.24022579193117,6.0,2.0
cp,data_50_10_80_(0).txt,123.498069524765,6.0,2.0
cp,data_50_10_80_(1).txt,122.6012761592865,6.0,2.0
cp,data_50_10_80_(2).txt,123.3080117702484,6.0,2.0
cp,data_50_10_80_(3).txt,123.08866262435912,6.0,2.0
cp,data_50_10_80_(4).txt,123.30249643325806,6.0,2.0
mip,data_10_2_12_(0).txt,0.2145098209381103,9.0,3.0
mip,data_10_2_12_(1).txt,0.7895728588104248,5.0,2.0
mip,data_10_2_12_(2).txt,0.3042111873626709,8.0,2.0
mip,data_10_2_12_(3).txt,0.6190705299377441,5.0,2.0
mip,data_10_2_12_(4).txt,0.6887550830841065,6.0,2.0
mip,data_10_2_24_(0).txt,0.3391255855560302,6.0,2.0
mip,data_10_2_24_(1).txt,0.7647367954254151,5.0,2.0
mip,data_10_2_24_(2).txt,0.4160017013549805,6.0,2.0
mip,data_10_2_24_(3).txt,0.3332869052886962,8.0,2.0
mip,data_10_2_24_(4).txt,0.8605540275573731,6.0,2.0
mip,data_10_2_40_(0).txt,0.5669845104217529,10.0,3.0
mip,data_10_2_40_(1).txt,1.6768767356872558,6.0,2.0
mip,data_10_2_40_(2).txt,0.6869784355163574,6.0,2.0
mip,data_10_2_40_(3).txt,1.4835952281951903,6.0,2.0
mip,data_10_2_40_(4).txt,0.9524699687957764,7.0,2.0
mip,data_10_2_4_(0).txt,0.228599452972412,8.0,2.0
mip,data_10_2_4_(1).txt,0.3965590953826904,5.0,2.0
mip,data_10_2_4_(2).txt,0.4233406543731689,5.0,2.0
mip,data_10_2_4_(3).txt,0.2340744972229003,6.0,2.0
mip,data_10_2_4_(4).txt,0.209021759033203,8.0,2.0
mip,data_16_3_12_(0).txt,1.928643083572388,13.0,4.0
mip,data_16_3_12_(1).txt,3.0797932624816893,6.0,2.0
mip,data_16_3_12_(2).txt,4.614007139205933,6.0,2.0
mip,data_16_3_12_(3).txt,4.501919460296631,6.0,2.0
mip,data_16_3_12_(4).txt,5.754797840118409,6.0,2.0
mip,data_16_3_24_(0).txt,3.14405255317688,7.0,2.0
mip,data_16_3_24_(1).txt,5.911234903335571,7.0,2.0
mip,data_16_3_24_(2).txt,3.2734331130981444,9.0,3.0
mip,data_16_3_24_(3).txt,5.196596431732178,6.0,2.0
mip,data_16_3_24_(4).txt,4.77383337020874,6.0,2.0
mip,data_16_3_40_(0).txt,5.266413831710816,6.0,2.0
mip,data_16_3_40_(1).txt,4.089892625808716,8.0,2.0
mip,data_16_3_40_(2).txt,5.256508445739746,6.0,2.0
mip,data_16_3_40_(3).txt,3.9657604694366455,7.0,2.0
mip,data_16_3_40_(4).txt,6.371697616577149,6.0,2.0
mip,data_16_3_60_(0).txt,2.9374043941497803,6.0,2.0
mip,data_16_3_60_(1).txt,334.95409870147705,7.0,2.0
mip,data_16_3_60_(2).txt,4.8977885246276855,8.0,2.0
mip,data_16_3_60_(3).txt,4.961076498031616,6.0,2.0
mip,data_16_3_60_(4).txt,3.055485725402832,6.0,2.0
mip,data_20_4_24_(0).txt,5.535808324813843,5.0,2.0
mip,data_20_4_24_(1).txt,5.424017667770386,6.0,2.0
mip,data_20_4_24_(2).txt,493.3485059738159,6.0,2.0
mip,data_20_4_24_(3).txt,7.968277931213379,6.0,2.0
mip,data_20_4_24_(4).txt,5.008384466171265,5.0,2.0
mip,data_20_4_40_(0).txt,7.029175519943237,5.0,2.0
mip,data_20_4_40_(1).txt,25.767241716384888,6.0,2.0
mip,data_20_4_40_(2).txt,7.557281732559204,5.0,2.0
mip,data_20_4_40_(3).txt,7.004226922988892,5.0,2.0
mip,data_20_4_40_(4).txt,118.23851680755617,6.0,2.0
mip,data_20_4_60_(0).txt,7.4044976234436035,6.0,2.0
mip,data_20_4_60_(1).txt,109.92150378227234,6.0,2.0
mip,data_20_4_60_(2).txt,6.23413872718811,7.0,2.0
mip,data_20_4_60_(3).txt,7.352110147476196,9.0,3.0
mip,data_20_4_60_(4).txt,5.941608905792236,10.0,3.0
mip,data_20_4_80_(0).txt,119.7361741065979,6.0,2.0
mip,data_20_4_80_(1).txt,8.99145221710205,10.0,3.0
mip,data_20_4_80_(2).txt,6.292079210281372,14.0,4.0
mip,data_20_4_80_(3).txt,6.056501150131226,5.0,2.0
mip,data_20_4_80_(4).txt,21.017771005630493,6.0,2.0
mip,data_30_6_40_(0).txt,20.32016682624817,6.0,2.0
mip,data_30_6_40_(1).txt,13.637959003448486,9.0,3.0
mip,data_30_6_40_(2).txt,12.780976057052612,10.0,3.0
mip,data_30_6_40_(3).txt,114.1826183795929,6.0,2.0
mip,data_30_6_40_(4).txt,14.524945974349976,6.0,2.0
mip,data_30_6_60_(0).txt,118.47922348976137,11.0,3.0
mip,data_30_6_60_(1).txt,117.2719657421112,6.0,2.0
mip,data_30_6_60_(2).txt,118.24235725402832,14.0,4.0
mip,data_30_6_60_(3).txt,117.1966953277588,6.0,2.0
mip,data_30_6_60_(4).txt,118.08253359794617,6.0,2.0
mip,data_30_6_80_(0).txt,19.75008463859558,11.0,3.0
mip,data_30_6_80_(1).txt,119.13843703269958,7.0,2.0
mip,data_30_6_80_(2).txt,118.847247838974,6.0,2.0
mip,data_30_6_80_(3).txt,117.2254753112793,7.0,2.0
mip,data_30_6_80_(4).txt,105.4163453578949,6.0,2.0
mip,data_40_8_120_(0).txt,44.55086898803711,6.0,2.0
mip,data_40_8_120_(1).txt,115.63682436943054,7.0,2.0
mip,data_40_8_120_(2).txt,40.052401304245,7.0,2.0
mip,data_40_8_120_(3).txt,116.26346278190611,8.0,2.0
mip,data_40_8_120_(4).txt,118.10205101966858,6.0,2.0
mip,data_40_8_60_(0).txt,72.05135607719421,6.0,2.0
mip,data_40_8_60_(1).txt,101.36054587364195,26.0,7.0
mip,data_40_8_60_(2).txt,46.951855182647705,10.0,3.0
mip,data_40_8_60_(3).txt,81.02583432197571,5.0,2.0
mip,data_40_8_60_(4).txt,104.52348470687866,30.0,8.0
mip,data_40_8_80_(0).txt,111.8386664390564,6.0,2.0
mip,data_40_8_80_(1).txt,107.20759415626526,13.0,4.0
mip,data_40_8_80_(2).txt,116.29354977607728,33.0,9.0
mip,data_40_8_80_(3).txt,103.09343647956848,27.0,7.0
mip,data_40_8_80_(4).txt,111.50899863243104,25.0,7.0
mip,data_50_10_120_(0).txt,103.07088160514832,44.0,11.0
mip,data_50_10_120_(1).txt,118.03508138656616,32.0,8.0
mip,data_50_10_120_(2).txt,108.44839882850648,50.0,13.0
mip,data_50_10_120_(3).txt,103.80329060554504,33.0,9.0
mip,data_50_10_120_(4).txt,108.15628623962402,34.0,9.0
mip,data_50_10_80_(0).txt,99.93598890304564,41.0,11.0
mip,data_50_10_80_(1).txt,90.6740264892578,50.0,13.0
mip,data_50_10_80_(2).txt,100.340505361557,50.0,13.0
mip,data_50_10_80_(3).txt,103.1140320301056,49.0,13.0
mip,data_50_10_80_(4).txt,117.991218328476,6.0,2.0
